index,Number,President,Colleges,Birth City,Birth State,Birth Date,Death City,Death State,Death Date,Left office,Took office,Party
0,1,George Washington,The College of William and Mary,Mount Vernon,VA,2/22/1732,Mount Vernon,VA,12/14/1799,3/4/1797,4/30/1789,Independent
1,2,John Adams,Harvard University,Quincy,MA,10/30/1735,Quincy,MA,7/4/1826,3/4/1801,3/4/1797,Federalist Party
2,3,Thomas Jefferson,The College of William and Mary,Shadwell,VA,4/13/1743,Charlottesville,VA,7/4/1826,3/4/1809,3/4/1801,Democratic - Republican Party
3,4,James Madison,Princeton University,Port Conway,VA,3/16/1751,Orange,VA,6/28/1836,3/4/1817,3/4/1809,Democratic - Republican Party
4,5,James Monroe,The College of William and Mary,Monroe Hall,VA,4/28/1758,New York,NY,7/4/1831,3/4/1825,3/4/1817,Democratic - Republican Party
5,6,John Quincy Adams,"Harvard University, Leiden University",Quincy,MA,7/11/1767,Washington,DC,2/23/1848,3/4/1829,3/4/1825,Democratic - Republican Party
6,7,Andrew Jackson,Did Not Graduate,Waxhaws,NC,3/15/1767,Nashville,TN,6/8/1845,3/4/1837,3/4/1829,Democratic Party
7,8,Martin Van Buren,Did Not Graduate,Kinderhook,NY,12/5/1782,Kinderhook,NY,7/24/1862,3/4/1841,3/4/1837,Democratic Party
8,9,William Henry Harrison,"Hampden–Sydney College, University of Pennsylvania",Charles City Co.,VA,2/9/1773,Washington,DC,4/4/1841,4/4/1841,3/4/1841,Whig Party
9,10,John Tyler,The College of William and Mary,Charles City Co.,VA,3/29/1790,Richmond,VA,1/18/1862,3/4/1845,4/4/1841,Whig Party
10,11,James K. Polk,University of North Carolina at Chapel Hill,Mecklenburg Co.,NC,11/2/1795,Nashville,TN,6/15/1849,3/4/1849,3/4/1845,Democratic Party
11,12,Zachary Taylor,Did Not Graduate,Orange County,VA,11/24/1784,Washington,DC,7/9/1850,7/9/1850,3/4/1849,Whig Party
12,13,Millard Fillmore,Did Not Graduate,Cayuga Co.,NY,1/7/1800,Buffalo,NY,3/8/1874,3/4/1853,7/9/1850,Whig Party
13,14,Franklin Pierce,"Bowdoin College, Northampton Law School",Hillsborough,NH,11/23/1804,Concord,NH,10/8/1869,3/4/1857,3/4/1853,Democratic Party
14,15,James Buchanan,Dickinson College,Cove Gap,PA,4/23/1791,Lancaster,PA,6/1/1868,3/4/1861,3/4/1857,Democratic Party
15,16,Abraham Lincoln,Did Not Graduate,LaRue Co.,KY,2/12/1809,Washington,DC,4/15/1865,4/15/1865,3/4/1861,Republican Party
16,17,Andrew Johnson,Did Not Graduate,Raleigh,NC,12/29/1808,Elizabethton,TN,7/31/1875,3/4/1869,4/15/1865,Democratic Party
17,18,Ulysses S. Grant,United States Military Academy,Point Pleasant,OH,4/27/1822,Wilton,NY,7/23/1885,3/4/1877,3/4/1869,Republican Party
18,19,Rutherford B. Hayes,"Harvard University, Kenyon College",Delaware,OH,10/4/1822,Fremont,OH,1/17/1893,3/4/1881,3/4/1877,Republican Party
19,20,James A. Garfield,"Hiram College, Williams College",Cuyahoga Co.,OH,11/19/1831,Elberon,NJ,9/19/1881,9/19/1881,3/4/1881,Republican Party
20,21,Chester A. Arthur,"State and National Law School, Union College",Fairfield,VT,10/5/1829,New York,NY,11/18/1886,3/4/1885,9/19/1881,Republican Party
